,trecho,pergunta 1,pergunta 2,pergunta 3,pergunta 4
10,"Com efeito, o camelo, muito melhor adaptado às condições naturais do Saara, comparativamente ao cavalo, permitia realizar longos trajetos sem dificuldade, assegurando contudo o transporte de cargas relativamente pesadas Entre o Fezzan e a região do Lago Chade, as condições naturais eram particularmente favoráveis à travessia do Saara: toda uma série de pequenos oásis e fontes naturais dágua e, a meio trajeto, o muito extenso oásis de Kawar, constituíam o traçado ideal para uma via de caravanas. 
Igualmente existia uma possibilidade de comércio com o vale do Nilo através do. Darfur e do Kordofan. Porém, a ausência de quaisquer dados arqueológicos precisos acerca destes itinerários não permite senão hipóteses; seria verossímil que, em um primeiro momento, o comércio com o vale do Nilo tenha sido o mais importante. 
Em contrapartida, a existência no Fezzan do antigo reino dos garamantes certamente constituiu um fator importante para a organização do comércio a grandes distâncias1111; entretanto, uma vez mais, a ausência de indicadores sobre os oásis meridionais do Fezzan e do Kawar, nos quais o olho nu entrevê vestígios de fortificações de data incerta, reduz a suscitar hipóteses1112 
Entretanto, é plausível que, desde o século 7 da era cristã, a rota do Saara Central tenha sido frequentada por pequenas caravanas fezzanezas, pois que Ukba ibn Nafi, o célebre conquistador árabe, dificilmente teria logrado penetrar até o Kawar tal como afirmam as fontes dos séculos 3-9 caso o traçado da rota não estivesse, antes dele, estabelecido pelos comerciantes, berberes ou zaghawa1113. "," Comparado ao cavalo, qual é o animal mais adpatado as condições do Saara?",,,
11,"Nessa época de implantação das primeiras formações políticas mossi, podemos distinguir cinco grandes correntes de penetração na zona central do rio Volta Branco, a partir do sul. A primeira afetou o oeste dessa região, com Naaba Pasgo e Naaba Silga atravessando o Volta Branco e ampliando sua área de influência até Kombisiri e Manga. 
A segunda teve por objetivo a região de Kugupela Kupela. Já a terceira atingiu as margens do lago de Bam, onde se instalou Naaba Ratageba, fundador do Ratenga, enquanto seu irmão Naaba Ziido fundava, nas proximidades, o Zitenga. A quarta corrente, liderada por Naaba Gigma, visou a zona de Bulsa, enquanto a última foi dar no âmago da região central, onde surgiu o Wubritenga, fundado, como o próprio nome indica, por Naaba Wubri, filho de Naaba Zungrana. 
Dos conquistadores e fundadores de dinastias do final do século 15 e começo do 16, dois personagens se destacam particularmente: Naaba Gigma e Naaba Wubri. As tradições do leste afirmam que Naaba Gigma foi irmão mais velho de Naaba Wubri, descartado do poder em favor do irmão caçula450. 
Naaba Gigma empreendeu a conquista da porção oriental do que é hoje o território mossi e estendeu sua influência até os confins atuais do Liptako, ao norte41. A esse respeito, é interessante notar que as ",,,,
12,"Nos anos 1970, o People´s Experimental Theater e outros grupos começaram a montar peças de cunho político, escritas por Credo Mutwa e alguns outros.
Malgrado a censura e as prisões, esta forma de arte dramática permaneceu muito vigorosa até as sublevações de Soweto. A repressão forçou a produção de peças sem texto, portanto, não censuráveis. Até recentemente140, a situação política impediu a elaboração de qualquer repertório teatral distinto daqueles que tratavam problemas políticos. Existem nos dias atuais peças escritas em todas as línguas africanas, cobrindo vasta gama temática141. 
O teatro europeu não foi facilmente aceito na África, em razão das suas convenções, do seu caráter literário, por não prever a participação da plateia e privilegiar as mensagens didáticas, em detrimento da diversão, sem levar em consideração as barreiras impostas pelo emprego de línguas estrangeiras. Em sua forma clássica, ele não foi aceito senão por uma fração das elites e por governos que lhe consideravam um produto de prestígio, incentivador do orgulho nacional. 
Mas, onde o teatro soube livrar-se das suas convenções, admitir os gostos populares, empregar as línguas nativas, sobretudo nos diálogos, permitir ao menos uma pequena participação do auditório, tornando-se menos intelectual, mediante estas circunstâncias ele, por via de regra, obteve sucesso. Em uma das situações extremas, as peças tornaram-se simples comédias musicais, de conteúdo dos mais sumários. Entretanto, como demonstrou a experiência, muito especialmente no tocante ao teatro e à ópera nigerianas, unicamente produções populares são capazes de alcançar uma alta qualidade dramática e literária. ",,,,
13,"836 Pré-Dinástico Primitivo do capítulo 28, páginas 821.
Conchas do mar e fragmentos de cascas de ovos e de microclínio amazonita foram usados para fazer cordões de contas. Nos locais de habitação, não ficou traço algum dos abrigos, sem dúvida muito frágeis, mas há muitas fogueiras cavadas no solo, semelhantes às achadas em Shaheinab, no Sudão. Silos constituídos de cestos enterrados no chão, agrupados perto das habitações, teriam sido usados para armazenar trigo, cevada, linho e outros produtos. 
O porco, a cabra, o boi, o hipopótamo e a tartaruga serviam de alimento para a população. Até o momento não há vestígios de cemitérios, que, sem dúvida, ficavam um pouco afastados. Essa cultura cerca de menos 4441 a menos 3860 poderia ser contemporânea do Badariense.
 O Merindiense837 ocupa uma extensa área habitada de mais de 2 hectares a oeste do delta do Nilo. As escavações, ainda por terminar e com resultados publicados somente em forma de relatos preliminares, atestam três camadas sucessivas de restos arqueológicos que traçam a evolução de uma mesma cultura no decorrer das épocas. ",,,,
14," Do mesmo modo, as divindades com cabeça de carneiro, Âmon-Rá e Khnum, aparecem muito freqüentemente nos baixos-relevos dos templos dos leões, embora não haja um único exemplo de estátua de carneiro associada a qualquer um dos templos dos leões. 
Além dos 32 templos dos leões registrados, existem quatorze sítios em que a sua presença é quase certa. Se acrescentamos a ocorrência nos textos meroítas de títulos religiosos associados a templos situados em localidades como Nalete, Tiyi, etc., eles devem ter sido realmente muito númerosos; ao que parece, distribuíam-se por toda a área de Méroe. 
A partir de um estudo dessa distribuição, conFiguram-se dois fatos. O primeiro é que em quatro sítios foram descobertos vários templos: Naga (oito templos), Mussawarates-Sufra (seis), Méroe (seis) e Djebel Barkal (três).
428 GARSTANG, J. et al. 1911. página 57; MACADAM, M. F. L. 1949, volume 1. página 114; HINTZE, F. 1962; id. 1971-a.",,,,
15,"No século 18, as regiões do interior do Quênia e da Tanzânia comportavam vários sistemas agrícolas diferentes. 
Dissemos que os habitantes de todas as comunidades observavam as particularidades de seu próprio meio ambiente e se esforçavam em pôr em prática técnicas que lhes permitissem utilizá-las de modo racional. A cultura após a queimada, muito difundida, era habitual e permitia a cultivo de novas terras por várias estações. Quando os solos ficavam esgotados, o agricultor se deslocava para que eles pudessem se recuperar. 
De acordo com as poucas indicações de que se dispõe, parece que no conjunto das regiões do interior do Quênia e da Tanzânia todos os sistemas agrícolas se apoiavam na força de trabalho de explorações equipadas das mesmas ferramentas simples: machados, enxadas, panga e venábulos. 
A criação de aves, de ovelhas e de cabras continuou sendo uma atividade econômica e cultural essencial no interior de África do Leste, em particular nas regiões relativamente secas e pouco povoadas do vale do Rift, no Quênia, e nos grandes planaltos herbosos da Tanzânia Central. As cabeças de gado eram, como o observou Abdul Sheriff, uma forma de riqueza mais fácil de estocar que matérias alimentícias vegetais1677. ",,,,
16,"Se, por sua vez, o capítulo deste volume que aborda a integração regional trata mais de divisões, conflitos de personalidades e fracassos, comparativamente ao que se poderia dizer sobre unidade e sucessos, o presente capítulo, em contrapartida, consagrado às relações do pan-africanismo com os movimentos de libertação, permite entrever grande unidade de propósitos e de ação junto aos povos de ascendência africana, mundo afora e, particularmente, na OUA. 
Mal-grado as contendas que opuseram, inicialmente, os movimentos de libertação, em que pesem os conflitos de interesse entre as economias nacionais, apesar da vulnerabilidade de alguns Estados independentes e do relevante apoio econômico, militar e diplomático concedido aos regimes coloniais, pelas potências ocidentais, contudo, a OUA e os movimentos de libertação lograram conduzir um combate comum, 
sob a insígnia do pan-africanismo, alcançando o triunfo sobre o colonialismo e o imperialismo europeus. De um modo ou de outro, todos os Estados independentes da África assumiram a sua responsabilidade no combate, a despeito da aparente diferença entre os seus interesses nacionais.
O anticolonialismo, o antirracismo e o não alinhamento foram os mais sólidos fundamentos em prol da unidade pan-africana, entre os Estados independentes e entre os movimentos de libertação. A ideologia pan-africana e a solidariedade com todos os movimentos de libertação africanos alcançaram eco entre as massas, preparando os africanos a aceitarem os custos econômicos e os sacrifícios humanos necessários à libertação dos seus irmãos. ",,,,
17,"De fato, se compararmos as precisões relativas ao itinerário no 1 ao que diz al-Bakri sobre o itinerário no 2, identificamos que as grandes diferenças são provavelmente fruto de importantes desigualdades referentes às informações das quais ele dispôs. 
No tangente ao itinerário no 7, as informações concernentes a Tirakka, situado a dez dias de Ras al-Ma, foram fornecidas por Abd al-Malik ibn Nakhkhas al-Gharfa, que igualmente contribuiu os elementos da instrução consagrada a Bughrat, as margens do Níger, proximamente a Tirakka, na rota conduzindo de Gana a Tadmekka955. Outro personagem, Ali Abd Allah 
947 TEG 66 MIV 26, 27, 28, 47 e 48 
948 Dois anéis, um brinco, um colar de pérolas de ouro encontravam-se neste tesouro ",,,,
18,"Ferro, linho, algodão, goma e índigo constituíam as mais importantes matérias primas. O ferro fabricado no império de Gana, provavelmente na zona entre os rios Falémé e Senegal, era exportado para outras regiões da Senegâmbia e do Níger. 
Temos agora a certeza que a África Oriental e Austral era quem fornecia esse metal à Índia. Os paises nilóticos sem dúvida participaram desse comércio com a Índia e também com o mundo muçulmano. No Magreb, as jazidas de Ceuta e de Orã, bem como as da região compreendida entre Salé e Marrakech, ainda estavam em atividade no século 112076 
O comércio do linho, do algodão, da goma e do índigo esteve ligado ao desenvolvimento da indústria têxtil. O cultivo do linho foi praticado no Magreb, o do algodão em várias regiões Rio Senegal, Etiópia, Egito, Magreb, etc. A goma usada na preparação dos tecidos provinha das florestas de gomeiras do Saara Ocidental ou do Cordofão. O índigo, talvez oriundo da Ásia Índia, foi cultivado a partir do século 11 no Magreb, que certamente fornecia o Sudão Ocidental. 
A circulação dos produtos de subsistência ocupou, em volume, o primeiro lugar nas trocas inter-africanas. O trigo do Magreb era exportado por caravanas e passava por Sidjilmasa, rumo ao Saara ",Em qual região da África foi praticado o cultivo de linho? ,Qual produto era usado nas trocas inter-africanas?,,
19,"Comparações feitas em Cambridge por Tobias e von Koenigswald entre peças originais javanesas e tanzanianas permitiram concluir que há uma identidade morfológica entre o mais antigo Homo habilis, e o Meganthropus palaeojavanicus e talvez o Hemianthropus peii da China. Do mesmo modo, concluíram que existe uma identidade morfológica entre o Homo habilis mais recente Hominídeo 13 e o Pithecanthropus 4, o Sangiran B e o Telanthropus capensis.
Industrias 
Pela primeira vez na história dos Primatas esses restos se encontram associados a utensílios fabricados.
Nas jazidas do Omo, a expedição francesa descobriu, em 1969, alguns utensílios de pedra e de osso com mais de 2 milhões de anos. No ano seguinte, na margem leste do lago Turkana, a expedição do Quênia descobriu, numa camada vulcânica de 2 milhões de anos, uma indústria de pedra e de osso semelhante aos utensílios do Omo.",,,,
20,"42 K. P SAUVANT, 1981, p. 112, tabela 12, oferece um relatório estatístico acerca da crescente frequência das reuniões dos dois grupos no seio do sistema das Nações Unidas, entre 1965 e 1979. 
de um agrupamento terceiro-mundista muito mais amplo, equação esta inclusive reconhecida por alguns autores que sublinham o seu declínio. Em lugar de queda, melhor seria portanto considerar uma transformação do afro-asianismo. 
De 7 a 9 de março de 1977, foi organizada no Cairo a primeira Conferência dos Chefes de Estado e de Governo da OUA e da Liga Árabe. Segundo os termos do relatório oficial, os cinquenta e nove países africanos e árabes representados estavam reunidos para consolidar a cooperação árabo-africana também denominada africano-árabe43. 
Sob a ótica da nossa análise, esta reunião, oficialmente apresentada como uma conferência de cúpula árabo-africana, reveste-se de um triplo significado.",Onde e quando foi organizada a primeira Conferência dos Chefes de Estado e de Governo da OUA?,Quantos países africanos estavam representados no grupo de cooperação africano-árabe em março de 1977?,,
21,"Com toda a probabilidade, as origens da cultura de Kalomo estão naquelas da Idade do Ferro Antiga, existentes no curso superior do rio Zambeze. Como já se pôde deduzir, a tecnologia e as estratégias econômicas do povo de Kalomo assemelham-se muito às dos camponeses da Idade do Ferro Antiga, o que indica a longa sobrevivência da cultura dessa Idade no planalto de Batoka. 
Presume-se que a população da Idade do Ferro tenha-se espalhado rapidamente por uma vasta área, em decorrência tanto da fragmentação das aldeias, quanto das pressões exercidas sobre as terras cultiváveis e as pastagens1036. Esta adaptação às novas condições deve ter constituído um sucesso, pois há indícios de que a cultura de 
Kalomo se manteve até 1450 em algumas áreas perto de Choma, bem como no vale do Zambeze. Por razões que permanecem obscuras, a cultura de Kalomo parece não ter alcançado o norte e o noroeste do planalto de Batoka.
Outros sítios, nenhum deles com importância comparável à das colinas de Kalomo, são encontrados na região de Mazabuka e Loshinvar. A tradição kangila, que tira seu nome de uma localidade perto de Mazabuka, tem sua expressão mais bela em Sebanzi, nos confins das planícies do rio Kafue Kafue Flats; nesse lugar, a tradição kangila funde-se, durante certo tempo, à cultura moderna de Ila-Tonga, que durante vários séculos floresceu por todo o planalto de Batoka.","Considerando as origens da cultura Kalomo, qual é a época mais provável para o seu nascimento?",Quais os principais motivos para o rápido espalhamento da população na Idade do Ferro?,,
22,"Visto que a teoria do monogenismo é universalmente aceita, a África é considerada hoje como o berço da humanidade. Esse berço sobre rodas 
segundo a definição espirituosa do Abade Breuil , que por muito tempo se moveu entre os picos do Pamir e as planícies do Eufrates, fixou-se, por enquanto, na África oriental. Esse fato teria ocorrido há uns 3 milhões de anos, no mínimo.
Na verdade, o Antigo Testamento Livro do Gênesis situa o Paraíso terrestre, o Éden, numa paisagem de jardins e plantas cultivadas. Deus destinava Adão à agricultura e à criação de animais, a um gênero de vida neolítica numa região onde todo um período Paleolítico iria pouco a pouco se revelar. 
Todas as cronologias tiradas da Santa Escritura situam a criação do homem entre 6",O que é a teoria do monogenismo?,Qual a descrição do Éden no Antigo testamento?,Quais eram as principais atividades de Adão?,
23,"Cliometristas, sociólogos e historiadores admitem que o tráfico foi uma catástrofe global para a África. A observação científica juntar-se-ia assim ao sentimento popular. Mas o propósito merece uma explicação. A ideologia humanitária era ocidental. 
É provável que não tenha havido o menor sentido no espírito dos distribuidores africanos da época – salvo raríssimas exceções. O que não quer dizer que eles fossem visceralmente incapazes de não mais praticar o tráfico, como os escravagista ocidentais o pretendiam. A permanência da oferta africana de mão de obra exportável deve ser analisada em termos de racionalidade econômica. 
Distribuidor negro e exportador branco não mudavam nada em uma atividade pagadora, aproveitável às duas partes interessadas, que não visavam outra coisa além do ganho. Assim foi no estágio elementar. A constante oferta se explicava pelo bom funcionamento de um sistema integrado. Se havia resistência africana, era contra o desmoronamento desse sistema. Inicialmente arruinaria os interesses constantes dos distribuidores não preparados31, sem falar 
28 S. Daget, 1983, ver, entre outros, os navios Le Charles, 1825, e Le Jules, 1829. ","Por que a permanência da oferta africana de mão de obra exportável durante o tráfico de escravos deve ser analisada em termos de racionalidade econômica, e como isso se relaciona com a resistência africana em relação ao desmoronamento do sistema de tráfico de escravos?



",,,
24,"Ouro atual Gana e ocupavam certo número de enclaves: Gâmbia, Serra Leoa, Lagos, Libreville, parte de Angola e de Moçambique. Em 1935, administrações europeias controlavam quase todo o continente. Em meio século, graças aos progressos médico científicos europeus, a medicina conseguiu dominar e curar as principais doenças que assolavam as populações da África, cujas causas eram até então ignoradas. 
Com efeito, foi pelo final do período que as sulfamidas e os medicamentos derivados deram início à era da quimioterapia, etapa sanitária decisiva para o continente africano. 
Essa mesma época compreende também, quase totalmente, o período de construção das estradas de ferro, e o de transição do tempo em que todo o transporte terrestre era feito por carregadores ao aparecimento de um número crescente de caminhões traçando, na poeira e na lama, uma rede de estradas cada vez mais densa. 
Muitos estudiosos publicaram dados aparentemente seguros referentes à evolução da população africana1, mas na verdade o essencial de nosso conhecimento sobre as contagens efetuadas no século 19 vem de uma extrapolação retrospectiva, a partir dos dados fornecidos pelos censos posteriores à Segunda Guerra Mundial. Se estes dados tivessem proclamado o dobro dos habitantes que contaram, é provável que tivéssemos ajustado para mais a nossa estimativa da população do século 19, na mesma proporção.",,,,
25,"4 Para uma excelente apresentação da emigração argelina para a Europa, conferir C. –R. AGERON, 1979. 
incluído o contrabando ou tráfico de entorpecentes. Uma emigração masculina do mesmo tipo constituiu a terceira característica da diáspora moderna: uma crescente quantidade de africanos pouco instruídos, sem formação, esperam ganhar a sua vida nas grandes metrópoles europeias, por intermédio de variados tipos de atividades, lícitas ou não, a começar pelo lavar a louça em restaurantes, passando pelos trabalhos de manutenção, até, finalmente e inclusive, o contrabando ou o tráfico de drogas.
Uma última categoria de emigrantes, recentemente evidenciada, vem inchar as fileiras da nova diáspora, temporária ou definitivamente.Trata-se dos exilados políticos. Eles fugiram da guerra civil ou foram vítimas dos conflitos fronteiriços entre países independentes; foram os instigadores ou organizadores de um golpe de Estado fracassado ou foram expulsos do seu país por espionagem em benefício de uma potência estrangeira ou por outras razões. 
Assim sendo, em 1986, Gana privou oito dos seus cidadãos, acusados de espionagem em favor dos Estados Unidos da América do Norte, da sua cidadania e os trocou por um agente dos serviços de segurança ganês que trabalhava nos Estados Unidos.",,,,
